Token;Label
il;
fallait;
pleurer;
doublement;
.;
C';
est;
une;
vérité;
;
je;
fus;
la;
mauvaise;
étoile;
de;
mes;
parents;
.;
Du;
jour;
de;
ma;
naissance;
;
d';
incroyables;
malheurs;
les;
assaillirent;
par;
vingt;
endroits;
.;
D';
abord;
nous;
eûmes;
donc;
le;
client;
de;
Marseille;B-LOC
;
puis;
deux;
fois;
le;
feu;
dans;
la;
même;
année;
;
puis;
la;
grève;
des;
ourdisseuses;
;
puis;
notre;
brouille;
avec;
l';B-PER
oncle;I-PER
Baptiste;I-PER
?;
;
puis;
un;
procès;
très;
coûteux;
avec;
nos;
marchands;
de;
couleurs;
;
puis;
;
enfin;
;
la;
révolution;
de;
18;
...;
;
qui;
nous;
donna;
le;
coup;
de;
grâce;
.;
À;
partir;
de;
ce;
moment;
;
la;
fabrique;
ne;
battit;
plus;
que;
d';
une;
aile;
;
petit;
à;
petit;
;
les;
ateliers;
se;
vidèrent;
:;
chaque;
semaine;
un;
métier;
à;
bas;
;
chaque;
mois;
une;
table;
d';
impression;
de;
moins;
.;
C';
était;
pitié;
de;
voir;
la;
vie;
s';
en;
aller;
de;
notre;
maison;
comme;
d';
un;
corps;
malade;
;
lentement;
;
tous;
les;
jours;
un;
peu;
.;
Une;
fois;
;
on;
n';
entra;
plus;
dans;
les;
salles;
du;
second;
.;
Une;
autre;
fois;
;
la;
cour;
du;
fond;
fut;
condamnée;
.;
Cela;
dura;
ainsi;
pendant;
deux;
ans;
;
pendant;
deux;
ans;
;
la;
fabrique;
agonisa;
.;
Enfin;
;
un;
jour;
;
les;
ouvriers;
ne;
vinrent;
plus;
;
la;
cloche;
des;
ateliers;
ne;
sonna;
pas;
;
le;
puits;
à;
roue;
cessa;
de;
grincer;
;
l';
eau;
des;
grands;
bassins;
;
dans;
lesquels;
on;
lavait;
les;
tissus;
;
demeura;
immobile;
;
et;
bientôt;
;
dans;
toute;
la;
fabrique;
;
il;
ne;
resta;
plus;
que;
M.;B-PER
et;I-PER
Mme;I-PER
Eyssette;I-PER
;
la;B-PER
vieille;I-PER
Annou;I-PER
;
mon;
frère;
Jacques;B-PER
et;
moi;
;
puis;
;
là;
-;
bas;
;
dans;
le;
fond;
;
pour;
garder;
les;
ateliers;
;
le;B-PER
concierge;I-PER
Colombe;I-PER
et;
son;
fils;
le;B-PER
petit;I-PER
Rouget;I-PER
.;
C';
était;
fini;
;
nous;
étions;
ruinés;
.;
J';
avais;
alors;
six;
ou;
sept;
ans;
.;
Comme;
j';
étais;
très;
frêle;
et;
maladif;
;
mes;
parents;
n';
avaient;
pas;
voulu;
m';
envoyer;
à;
l';
école;
.;
Ma;
mère;
m';
avait;
seulement;
appris;
à;
lire;
et;
à;
écrire;
;
plus;
quelques;
mots;
d';
espagnol;
et;
deux;
ou;
trois;
airs;
de;
guitare;
;
à;
l';
aide;
desquels;
on;
m';
avait;
fait;
;
dans;
la;
famille;
;
une;
réputation;
de;
petit;
prodige;
.;
Grâce;
à;
ce;
système;
d';
éducation;
;
je;
ne;
bougeais;
jamais;
de;
chez;
nous;
;
et;
je;
pus;
assister;
dans;
tous;
ses;
détails;
à;
l';
agonie;
de;
la;B-ORG
maison;I-ORG
Eyssette;I-ORG
.;
Ce;
spectacle;
me;
laissa;
froid;
;
je;
l';
avoue;
;
même;
je;
trouvai;
à;
notre;
ruine;
ce;
côté;
très;
agréable;
que;
je;
pouvais;
gambader;
à;
ma;
guise;
par;
toute;
la;
fabrique;
;
ce;
qui;
;
du;
temps;
des;
ouvriers;
;
ne;
m';
était;
permis;
que;
le;
dimanche;
.;
Je;
disais;
gravement;
au;B-PER
petit;I-PER
Rouget;I-PER
:;
«;
Maintenant;
;
la;
fabrique;
est;
à;
moi;
;
on;
me;
l';
a;
donnée;
pour;
jouer;
.;
»;
Et;
le;B-PER
petit;I-PER
Rouget;I-PER
me;
croyait;
.;
Il;
croyait;
tout;
ce;
que;
je;
lui;
disais;
;
cet;
imbécile;
.;
À;
la;
maison;
;
par;
exemple;
;
tout;
le;
monde;
ne;
prit;
pas;
notre;
débâcle;
aussi;
gaiement;
.;
Tout;
à;
coup;
;
M.;B-PER
Eyssette;I-PER
devint;
terrible;
:;
c';
était;
dans;
l';
habitude;
une;
nature;
enflammée;
;
violente;
;
exagérée;
;
aimant;
les;
cris;
;
la;
casse;
et;
les;
tonnerres;
;
au;
fond;
;
un;
très;
excellent;
homme;
;
ayant;
seulement;
la;
main;
leste;
;
le;
verbe;
haut;
et;
l';
impérieux;
besoin;
de;
donner;
le;
tremblement;
à;
tout;
ce;
qui;
l';
entourait;
.;
La;
mauvaise;
fortune;
;
au;
lieu;
de;
l';
abattre;
;
l';
exaspéra;
.;
Du;
soir;
au;
matin;
;
ce;
fut;
une;
colère;
formidable;
qui;
;
ne;
sachant;
à;
qui;
s';
en;
prendre;
;
s';
attaquait;
à;
tout;
;
au;
soleil;
;
au;
mistral;
;
à;
Jacques;B-PER
;
à;
la;B-PER
vieille;I-PER
Annou;I-PER
;
à;
la;
Révolution;
;
oh;
!;
surtout;
à;
la;
Révolution;
!;
...;
À;
entendre;
mon;
père;
;
vous;
auriez;
juré;
que;
cette;
révolution;
de;
18;
...;
;
qui;
nous;
avait;
mis;
à;
mal;
;
était;
spécialement;
dirigée;
contre;
nous;
.;
Aussi;
;
je;
vous;
prie;
de;
croire;
que;
les;
révolutionnaires;
n';
étaient;
pas;
en;
odeur;
de;
sainteté;
dans;
la;B-ORG
maison;I-ORG
Eyssette;I-ORG
.;
Dieu;B-MISC
sait;
ce;
que;
nous;
avons;
dit;
de;
ces;
messieurs;
dans;
ce;
temps;
.;
là;
...;
Encore;
aujourd'hui;
;
quand;
le;
vieux;
papa;
Eyssette;B-PER
(;
que;
Dieu;B-MISC
me;
le;
conserve;
!;
);
sent;
venir;
son;
accès;
de;
goutte;
;
il;
s';
étend;
péniblement;
sur;
sa;
chaise;
longue;
;
et;
nous;
l';
entendons;
dire;
:;
«;
Oh;
!;
ces;
révolutionnaires;
!;
...;
»;
À;
l';
époque;
dont;
je;
vous;
parle;
;
M.;B-PER
Eyssette;I-PER
n';
avait;
pas;
la;
goutte;
;
et;
la;
douleur;
de;
se;
voir;
ruiné;
en;
avait;
fait;
un;
homme;
terrible;
que;
personne;
ne;
pouvait;
approcher;
.;
Il;
fallut;
le;
saigner;
deux;
fois;
en;
quinze;
jours;
.;
Autour;
de;
lui;
;
chacun;
se;
taisait;
;
on;
avait;
peur;
.;
À;
table;
;
nous;
demandions;
du;
pain;
à;
voix;
basse;
.;
On;
n';
osait;
pas;
même;
pleurer;
devant;
lui;
.;
Aussi;
;
dès;
qu';
il;
avait;
tourné;
les;
talons;
;
ce;
n';
était;
qu';
un;
sanglot;
;
d';
un;
bout;
de;
la;
maison;
à;
l';
autre;
;
ma;
mère;
;
la;B-PER
vieille;I-PER
Annou;I-PER
;
mon;
frère;
Jacques;B-PER
et;
aussi;
mon;
grand;
frère;
l';B-PER
abbé;I-PER
;
lorsqu';
il;
venait;
nous;
voir;
;
tout;
le;
monde;
s';
y;
mettait;
.;
Ma;
mère;
;
cela;
se;
conçoit;
;
pleurait;
de;
voir;
M.;B-PER
Eyssette;I-PER
malheureux;
;
l';B-PER
abbé;I-PER
et;
la;B-PER
vieille;I-PER
Annou;I-PER
pleuraient;
de;
voir;
pleurer;
Mme;B-PER
Eyssette;I-PER
;
quant;
à;
Jacques;B-PER
;
trop;
jeune;
encore;
pour;
comprendre;
nos;
malheurs;
--;
il;
avait;
à;
peine;
deux;
ans;
de;
plus;
que;
moi;
--;
il;
pleurait;
par;
besoin;
;
pour;
le;
plaisir;
.;
Un;
singulier;
enfant;
que;
mon;
frère;
Jacques;B-PER
;
en;
voilà;
un;
qui;
avait;
le;
don;
des;
larmes;
!;
D';
aussi;
loin;
qu';
il;
me;
souvienne;
;
je;
le;
vois;
les;
yeux;
rouges;
et;
la;
joue;
ruisselante;
.;
Le;
soir;
;
le;
matin;
;
de;
jour;
;
de;
nuit;
;
en;
classe;
;
à;
la;
maison;
;
en;
promenade;
;
il;
pleurait;
sans;
cesse;
;
il;
pleurait;
partout;
.;
Quand;
on;
lui;
disait;
:;
«;
Qu';
as;
-;
tu;
?;
»;
il;
répondait;
en;
sanglotant;
:;
«;
Je;
n';
ai;
rien;
.;
»;
Et;
;
le;
plus;
curieux;
;
c';
est;
qu';
il;
n';
avait;
rien;
.;
Il;
pleurait;
comme;
on;
se;
mouche;
;
plus;
souvent;
;
voilà;
tout;
.;
Quelquefois;
M.;B-PER
Eyssette;I-PER
;
exaspéré;
;
disait;
à;
ma;
mère;
:;
«;
Cet;
enfant;
est;
ridicule;
;
regardez;
-;
le;
...;
c';
est;
un;
fleuve;
.;
»;
À;
quoi;
Mme;B-PER
Eyssette;I-PER
répondait;
de;
sa;
voix;
douce;
:;
«;
Que;
veux;
-;
tu;
;
mon;
ami;
?;
cela;
passera;
en;
grandissant;
;
à;
son;
âge;
;
j';
étais;
comme;
lui;
.;
»;
En;
attendant;
;
Jacques;B-PER
grandissait;
;
il;
grandissait;
beaucoup;
même;
;
et;
cela;
ne;
lui;
passait;
pas;
.;
Tout;
au;
contraire;
;
la;
singulière;
aptitude;
qu';
avait;
cet;
étrange;
garçon;
à;
répandre;
sans;
raison;
des;
averses;
de;
larmes;
allait;
chaque;
jour;
en;
augmentant;
.;
Aussi;
la;
désolation;
de;
nos;
parents;
lui;
fut;
une;
grande;
fortune;
...;
C';
est;
pour;
le;
coup;
qu';
il;
s';
en;
donna;
de;
sangloter;
à;
son;
aise;
;
des;
journées;
entières;
;
sans;
que;
personne;
vînt;
lui;
dire;
:;
«;
Qu';
as;
-;
tu;
?;
»;
En;
somme;
;
pour;
Jacques;B-PER
comme;
pour;
moi;
;
notre;
ruine;
avait;
son;
joli;
côté;
.;
Pour;
ma;
part;
;
j';
étais;
très;
heureux;
.;
On;
ne;
s';
occupait;
plus;
de;
moi;
.;
J';
en;
profitais;
pour;
jouer;
tout;
le;
jour;
avec;
Rouget;B-PER
parmi;
les;
ateliers;
déserts;
;
où;
nos;
pas;
sonnaient;
comme;
dans;
une;
église;
;
et;
les;
grandes;
cours;
abandonnées;
;
que;
l';
herbe;
envahissait;
déjà;
;
Ce;
jeune;
Rouget;B-PER
;
fils;
du;B-PER
concierge;I-PER
Colombe;I-PER
;
était;
un;
gros;
garçon;
d';
une;
douzaine;
d';
années;
;
fort;
comme;
un;
bœuf;
;
dévoué;
comme;
un;
chien;
;
bête;
comme;
une;
oie;
et;
remarquable;
surtout;
par;
une;
chevelure;
rouge;
;
à;
laquelle;
il;
devait;
son;
surnom;
de;
Rouget;B-PER
.;
Seulement;
;
je;
vais;
vous;
dire;
:;
Rouget;B-PER
;
pour;
moi;
;
n';
était;
pas;
Rouget;B-PER
.;
Il;
était;
tout;
à;
tour;
mon;
fidèle;
Vendredi;B-PER
;
une;
tribu;
de;
sauvages;
;
un;
équipage;
révolté;
;
tout;
ce;
qu';
on;
voulait;
.;
Moi;
-;
même;
;
en;
ce;
temps;
-là;
;
je;
ne;
m';
appelais;
pas;
Daniel;B-PER
Eyssette;I-PER
:;
j';
étais;
cet;
homme;
singulier;
;
vêtu;
de;
peaux;
de;
bêtes;
;
dont;
on;
venait;
de;
me;
donner;
les;
aventures;
;
master;B-PER
Crusoe;I-PER
lui-même;
.;
Douce;
folie;
!;
Le;
soir;
;
après;
souper;
;
je;
relisais;
mon;
Robinson;B-MISC
;
je;
l';
apprenais;
par;
cœur;
;
le;
jour;
;
je;
le;
jouais;
;
je;
le;
jouais;
avec;
rage;
;
et;
tout;
ce;
qui;
m';
entourait;
;
je;
l';
enrôlais;
dans;
ma;
comédie;
.;
La;
fabrique;
n';
était;
plus;
la;
fabrique;
;
c';
était;
mon;
île;
déserte;
;
oh;
!;
bien;
déserte;
.;
Les;
bassins;
jouaient;
le;
rôle;
d';
Océan;
.;
Le;
jardin;
faisait;
une;
forêt;
vierge;
.;
Il;
y;
avait;
dans;
les;
platanes;
un;
tas;
de;
cigales;
qui;
étaient;
de;
la;
pièce;
et;
qui;
ne;
le;
savaient;
pas;
.;
Rouget;B-PER
;
lui;
non;
plus;
;
ne;
se;
doutait;
guère;
de;
l';
importance;
de;
son;
rôle;
.;
Si;
on;
lui;
avait;
demandé;
ce;
que;
c';
était;
que;
Robinson;B-MISC
;
on;
l';
aurait;
bien;
embarrassé;
;
pourtant;
je;
dois;
dire;
qu';
il;
tenait;
son;
emploi;
avec;
la;
plus;
grande;
conviction;
;
et;
que;
;
pour;
imiter;
le;
rugissement;
des;
sauvages;
;
il;
n';
y;
en;
avait;
pas;
comme;
lui;
.;
Où;
avait;
-il;
appris;
?;
Je;
l';
ignore;
...;
Toujours;
est;
-il;
que;
ces;
grands;
rugissements;
de;
sauvage;
qu';
il;
allait;
chercher;
dans;
le;
fond;
de;
sa;
gorge;
;
en;
agitant;
sa;
forte;
crinière;
rouge;
;
auraient;
fait;
frémir;
les;
plus;
braves;
.;
Moi;
-;
même;
;
Robinson;B-PER
;
j';
en;
avais;
quelquefois;
le;
cœur;
bouleversé;
;
et;
j';
étais;
obligé;
de;
lui;
dire;
à;
voix;
basse;
!;
«;
Pas;
si;
fort;
;
Rouget;B-PER
;
tu;
me;
fais;
peur;
.;
»;
Malheureusement;
;
si;
Rouget;B-PER
;
imitait;
le;
cri;
des;
sauvages;
très;
bien;
;
il;
savait;
encore;
mieux;
dire;
les;
gros;
mots;
d';
enfants;
de;
la;
rue;
et;
jurer;
le;
nom;
de;
Notre-Seigneur;B-MISC
.;
Tout;
en;
jouant;
;
j';
appris;
à;
faire;
comme;
lui;
;
et;
un;
jour;
;
en;
pleine;
table;
;
un;
formidable;
juron;
m';
échappa;
je;
ne;
sais;
comment;
;
Consternation;
générale;
!;
«;
Qui;
t';
a;
appris;
cela;
?;
Où;
l';
as;
-;
tu;
entendu;
?;
»;
Ce;
fut;
un;
événement;
.;
M.;B-PER
Eyssette;I-PER
parla;
tout;
de;
suite;
de;
me;
mettre;
dans;
une;
maison;
de;
correction;
;
mon;
grand;
frère;
l';B-PER
abbé;I-PER
dit;
qu';
avant;
toute;
chose;
on;
devait;
m';
envoyer;
à;
confesse;
;
puisque;
j';
avais;
l';
âge;
de;
raison;
.;
On;
me;
mena;
à;
confesse;
.;
Grande;
affaire;
!;
Il;
fallait;
ramasser;
dans;
tous;
les;
coins;
de;
ma;
conscience;
un;
tas;
de;
vieux;
péchés;
qui;
traînaient;
là;
depuis;
sept;
ans;
.;
Je;
ne;
dormis;
pas;
de;
deux;
nuits;
;
c';
est;
qu';
il;
y;
en;
avait;
toute;
une;
panerée;
de;
ces;
diables;
de;
péchés;
;
j';
avais;
mis;
les;
plus;
petits;
dessus;
;
mais;
c';
est;
égal;
;
les;
autres;
se;
voyaient;
;
et;
lorsque;
;
agenouillé;
dans;
la;
petite;
armoire;
de;
chêne;
;
il;
fallut;
montrer;
tout;
cela;
au;B-PER
curé;I-PER
des;I-PER
Récollets;I-PER
;
je;
crus;
que;
je;
mourrais;
de;
peur;
et;
de;
confusion;
...;
Ce;
fut;
fini;
.;
Je;
ne;
voulus;
plus;
jouer;
avec;
Rouget;B-PER
;
je;
savais;
maintenant;
;
c';
est;
saint;B-MISC
Paul;I-MISC
qui;
l';
a;
dit;
et;
le;B-PER
curé;I-PER
des;I-PER
Récollets;I-PER
me;
le;
répéta;
;
que;
le;
démon;
rôde;
éternellement;
autour;
de;
nous;
comme;
un;
lion;
;
quaerens;
quem;
devoret;
?;
Oh;
!;
ce;
quaerens;
quem;
devoret;
;
quelle;
impression;
il;
me;
fit;
!;
Je;
savais;
aussi;
que;
cet;
intrigant;
de;
Lucifer;B-MISC
prend;
tous;
les;
visages;
qu';
il;
veut;
pour;
vous;
tenter;
;
et;
vous;
ne;
m';
auriez;
pas;
ôté;
de;
l';
idée;
qu';
il;
s';
était;
caché;
dans;
la;
peau;
de;
Rouget;B-PER
pour;
m';
apprendre;
à;
jurer;
le;
nom;
de;
Dieu;B-MISC
.;
Aussi;
;
mon;
premier;
soin;
;
en;
rentrant;
à;
la;
fabrique;
;
fut;
d';
avertir;
Vendredi;B-PER
qu';
il;
eût;
à;
rester;
chez;
lui;
dorénavant;
.;
Infortuné;
Vendredi;B-PER
!;
Cet;
ukase;
lui;
creva;
;
le;
cœur;
;
mais;
il;
s';
y;
conforma;
sans;
une;
plainte;
.;
Quelquefois;
je;
l';
apercevais;
debout;
;
sur;
la;
porte;
de;
la;
loge;
;
du;
côté;
des;
ateliers;
;
il;
se;
tenait;
là;
tristement;
;
et;
lorsqu';
il;
voyait;
que;
je;
le;
regardais;
;
le;
malheureux;
poussait;
pour;
m';
attendrir;
les;
plus;
effroyables;
rugissements;
;
en;
agitant;
sa;
crinière;
flamboyante;
;
mais;
plus;
il;
rugissait;
;
plus;
je;
me;
tenais;
loin;
.;
Je;
trouvais;
qu';
il;
ressemblait;
au;
fameux;
lion;
quaerens;
.;
Je;
lui;
criais;
:;
«;
Va;
-;
t';
en;
!;
tu;
me;
fais;
horreur;
.;
»;
Rouget;B-PER
s';
obstina;
à;
rugir;
ainsi;
pendant;
quelques;
jours;
;
puis;
;
un;
matin;
;
son;
père;
;
fatigué;
de;
ses;
rugissements;
à;
domicile;
;
l';
envoya;
rugir;
en;
apprentissage;
;
et;
je;
ne;
le;
revis;
plus;
.;
Mon;
enthousiasme;
pour;
Robinson;B-PER
n';
en;
fut;
pas;
un;
instant;
refroidi;
.;
Tout;
juste;
vers;
ce;
temps;
-là;
;
l';B-PER
oncle;I-PER
Baptiste;I-PER
se;
dégoûta;
subitement;
de;
son;
perroquet;
et;
me;
le;
donna;
.;
Ce;
perroquet;
remplaça;
Vendredi;B-PER
.;
Je;
l';
installai;
dans;
une;
belle;
cage;
au;
fond;
de;
ma;
résidence;
d';
hiver;
;
et;
me;
voilà;
;
plus;
Crusoé;B-PER
que;
jamais;
;
passant;
mes;
journées;
en;
tête-à-tête;
avec;
cet;
intéressant;
volatile;
et;
cherchant;
à;
lui;
faire;
dire;
:;
«;
Robinson;B-PER
;
mon;
pauvre;
Robinson;B-PER
!;
»;
Comprenez;
-vous;
cela;
?;
Ce;
perroquet;
;
que;
l';B-PER
oncle;I-PER
Baptiste;I-PER
m';
avait;
donné;
pour;
se;
débarrasser;
de;
son;
éternel;
bavardage;
;
s';
obstina;
à;
ne;
pas;
parler;
dès;
qu';
il;
fut;
à;
moi;
...;
Pas;
plus;
«;
mon;
pauvre;
Robinson;B-PER
»;
qu';
autre;
chose;
;
jamais;
je;
n';
en;
pus;
rien;
tirer;
.;
Malgré;
cela;
;
je;
l';
aimais;
beaucoup;
et;
j';
en;
avais;
le;
plus;
grand;
soin;
.;
Nous;
vivions;
ainsi;
;
mon;
perroquet;
et;
moi;
;
dans;
la;
plus;
austère;
solitude;
;
lorsqu';
un;
matin;
il;
m';
arriva;
une;
chose;
vraiment;
extraordinaire;
.;
Ce;
jour;
-là;
;
j';
avais;
quitté;
ma;
cabane;
de;
bonne;
heure;
et;
je;
faisais;
;
armé;
jusqu';
aux;
dents;
;
un;
voyage;
d';
exploration;
à;
travers;
mon;
île;
...;
Tout;
à;
coup;
;
je;
vis;
venir;
de;
mon;
côté;
un;
groupe;
de;
trois;
ou;
quatre;
personnes;
;
qui;
parlaient;
à;
voix;
très;
haute;
et;
gesticulaient;
vivement;
.;
Juste;
Dieu;B-MISC
!;
des;
hommes;
dans;
mon;
île;
!;
Je;
n';
eus;
que;
le;
temps;
de;
me;
jeter;
derrière;
un;
bouquet;
de;
lauriers;
roses;
;
et;
à;
plat;
ventre;
;
s';
il;
vous;
plaît;
...;
Les;
hommes;
passèrent;
près;
de;
moi;
sans;
me;
voir;
...;
Je;
crus;
distinguer;
la;
voix;
du;B-PER
concierge;I-PER
Colombe;I-PER
;
ce;
qui;
me;
rassura;
un;
peu;
;
mais;
;
c';
est;
égal;
;
dès;
qu';
ils;
furent;
loin;
je;
sortis;
de;
ma;
cachette;
et;
je;
les;
suivis;
à;
distance;
pour;
voir;
ce;
que;
tout;
cela;
deviendrait;
...;
Ces;
étrangers;
restèrent;
longtemps;
dans;
mon;
île;
.;
Ils;
la;
visitèrent;
d';
un;
bout;
à;
l';
autre;
dans;
tous;
ses;
détails;
.;
Je;
les;
vis;
entrer;
dans;
mes;
grottes;
et;
sonder;
avec;
leurs;
cannes;
la;
profondeur;
de;
mes;
océans;
.;
De;
temps;
en;
temps;
ils;
s';
arrêtaient;
et;
remuaient;
la;
tête;
.;
Toute;
ma;
crainte;
était;
qu';
ils;
ne;
vinssent;
à;
découvrir;
mes;
résidences;
...;
Que;
serais;
-je;
devenu;
;
grand;
Dieu;B-MISC
!;
Heureusement;
;
il;
n';
en;
fut;
rien;
;
et;
au;
bout;
d';
une;
demi-heure;
;
les;
hommes;
se;
retirèrent;
sans;
se;
douter;
seulement;
que;
l';
île;
était;
habitée;
.;
Dès;
qu';
ils;
furent;
partis;
;
je;
courus;
m';
enfermer;
dans;
une;
de;
mes;
cabanes;
;
et;
passai;
là;
le;
reste;
du;
jour;
à;
me;
demander;
quels;
étaient;
ces;
hommes;
et;
ce;
qu';
ils;
étaient;
venus;
faire;
.;
J';
allais;
le;
savoir;
bientôt;
.;
Le;
soir;
;
à;
souper;
;
M.;B-PER
Eyssette;I-PER
nous;
annonça;
solennellement;
que;
la;
fabrique;
était;
vendue;
;
et;
que;
;
dans;
un;
mois;
;
nous;
partirions;
tous;
pour;
Lyon;B-LOC
;
où;
nous;
allions;
demeurer;
désormais;
.;
Ce;
fut;
un;
coup;
terrible;
.;
Il;
me;
sembla;
que;
le;
ciel;
croulait;
.;
La;
fabrique;
vendue;
!;
...;
Eh;
bien;
;
et;
mon;
île;
;
mes;
grottes;
;
mes;
cabanes;
?;
Hélas;
!;
l';
île;
;
les;
grottes;
;
les;
cabanes;
;
M.;B-PER
Eyssette;I-PER
avait;
tout;
vendu;
;
il;
fallait;
tout;
quitter;
.;
Dieu;B-MISC
;
que;
je;
pleurais;
!;
...;
Pendant;
un;
mois;
;
tandis;
qu';
à;
la;
maison;
on;
emballait;
les;
glaces;
;
la;
vaisselle;
;
je;
me;
promenais;
triste;
et;
seul;
dans;
ma;
chère;
fabrique;
;
Je;
n';
avais;
plus;
le;
cœur;
à;
jouer;
;
vous;
pensez;
...;
oh;
!;
non;
...;
J';
allais;
m';
asseoir;
dans;
tous;
les;
coins;
;
et;
regardant;
les;
objets;
autour;
de;
moi;
;
je;
leur;
parlais;
comme;
à;
des;
personnes;
;
je;
disais;
aux;
platanes;
:;
«;
Adieu;
;
mes;
chers;
amis;
!;
»;
et;
aux;
bassins;
:;
«;
C';
est;
fini;
;
nous;
ne;
nous;
verrons;
plus;
!;
»;
Il;
y;
avait;
dans;
le;
fond;
du;
jardin;
un;
grand;
grenadier;
dont;
les;
belles;
fleurs;
rouges;
s';
épanouissaient;
au;
soleil;
.;
Je;
lui;
dis;
en;
sanglotant;
:;
«;
Donne;
-moi;
une;
de;
tes;
fleurs;
.;
»;
Il;
me;
la;
donna;
.;
Je;
la;
mis;
dans;
ma;
poitrine;
;
en;
souvenir;
de;
lui;
.;
J';
étais;
très;
malheureux;
.;
Pourtant;
;
au;
milieu;
de;
cette;
grande;
douleur;
;
deux;
choses;
me;
faisaient;
sourire;
:;
d';
abord;
la;
pensée;
de;
monter;
sur;
un;
navire;
;
puis;
la;
permission;
qu';
on;
';
m';
avait;
donnée;
d';
emporter;
mon;
perroquet;
avec;
moi;
.;
Je;
me;
disais;
que;
Robinson;B-PER
avait;
quitté;
son;
île;
dans;
des;
conditions;
à;
peu;
près;
semblables;
;
et;
cela;
me;
donnait;
du;
courage;
.;
Enfin;
;
le;
jour;
du;
départ;
arriva;
.;
M.;B-PER
Eyssette;I-PER
était;
déjà;
à;
Lyon;B-LOC
depuis;
une;
semaine;
.;
Il;
avait;
pris;
les;
devant;
avec;
les;
gros;
meubles;
.;
Je;
partis;
donc;
en;
compagnie;
de;
Jacques;B-PER
;
de;
ma;
mère;
et;
de;
la;B-PER
vieille;I-PER
Annou;I-PER
.;
Mon;
grand;
frère;
l';
abbé;
ne;
partait;
pas;
;
mais;
il;
nous;
accompagna;
jusqu';
à;
la;
diligence;
de;
Beaucaire;B-LOC
?;
;
et;
aussi;
le;B-PER
concierge;I-PER
Colombe;I-PER
nous;
accompagna;
.;
C';
est;
lui;
qui;
marchait;
devant;
en;
poussant;
une;
énorme;
brouette;
chargée;
de;
malles;
.;
Derrière;
venait;
mon;
frère;
l';
abbé;
;
donnant;
le;
bras;
à;
Mme;B-PER
Eyssette;I-PER
.;
Mon;
pauvre;
abbé;
;
que;
je;
ne;
devais;
plus;
revoir;
!;
La;B-PER
vieille;I-PER
Annou;I-PER
marchait;
ensuite;
;
flanquée;
d';
un;
énorme;
parapluie;
bleu;
et;
de;
Jacques;B-PER
;
qui;
était;
bien;
content;
d';
aller;
à;
Lyon;B-LOC
;
mais;
qui;
sanglotait;
tout;
de;
même;
...;
Enfin;
;
à;
la;
queue;
de;
la;
colonne;
venait;
Daniel;B-PER
Eyssette;I-PER
;
portant;
gravement;
la;
cage;
du;
perroquet;
et;
se;
retournant;
